problem_id,product,component,severity,summary,root_cause,resolution,category,recurrence_type,affected_version
PRB-QNXT-007,QNXT,Financial & Capitation Module,P2,Monthly capitation file export contains duplicate member rows for members enrolled in multiple sub-plans,Capitation export query joins member_plan without DISTINCT on member_id; multi-plan members appear N times,Added DISTINCT member_id with MAX(effective_date) aggregation; capitation accuracy improved from 94% to 99.8%,Data Integrity,Recurring,All versions
PRB-QNXT-008,QNXT,Reporting & Analytics,P3,HEDIS measure MLR-2 (Medication Adherence) denominator under-counts members on 90-day supply fills,90-day supply fills counted as single fill event; PDC denominator calculation uses fill_count not days_supply,Rewritten PDC calculation using days_supply / observation_period; MLR-2 rate increased 3.2 percentage points,Reporting,First Occurrence,6.4.0 - 6.4.1
PRB-EDM-001,EDM,Encounter Data Submission,P1,EDM batch submission to CMS rejects entire file when a single encounter record has malformed DX code,EDM validator uses fail-fast strategy; first error aborts entire 50000-record batch,Switched to collect-all-errors strategy; bad records quarantined to error queue; clean records submitted,Batch Processing,Recurring,5.1.x - 5.3.x
PRB-EDM-002,EDM,Encounter Data Submission,P2,ICD-10 to ICD-9 crosswalk produces incorrect codes for combination diagnoses mapped to multiple ICD-10 codes,Crosswalk table has 1:1 mapping; combination DX codes (e.g. E11.65) split incorrectly into two ICD-9 entries,Updated crosswalk to flag combination codes; added manual review queue for multi-mapped entries,Data Integrity,Recurring,5.2.x - 5.3.x
PRB-EDM-003,EDM,Capitation & Risk Adjustment,P2,HCC RAF score recalculation incorrectly excludes members disenrolled mid-year from risk adjustment pool,Disenrollment filter excludes members with end_date < year_end; partial-year members should be prorated,Fixed filter to include partial-year members; added prorated weight calculation for days enrolled,Data Integrity,Recurring,5.3.x
PRB-EDM-004,EDM,Reporting & Compliance,P3,RADV audit extract misses encounters submitted via batch API vs. online portal due to source_type filter,RADV query filters on source_type = 'portal'; batch-submitted encounters tagged source_type = 'api' excluded,Removed source_type filter from RADV extract; added source_type column to audit report for transparency,Reporting,First Occurrence,5.3.0
PRB-EDM-005,EDM,Encounter Data Submission,P1,Supplemental data file ingestion stalls when file size exceeds 2GB compressed,SupplementalIngestor loads entire file into memory; OOM on files >2GB compressed (8GB+ uncompressed),Rewrote ingestor to use streaming GZIP reader with configurable chunk size (default 100MB),Batch Processing,First Occurrence,5.2.0
PRB-EAM-001,EAM,Enterprise Authorization Management,P2,Prior authorization requests for DME (Durable Medical Equipment) route to wrong clinical review queue,AuthRouter evaluates procedure_type before place_of_service; DME with place_of_service=12 (Home) misfires,Added DME check as first routing condition in AuthRouter.route() before procedure_type evaluation,Workflow,Recurring,4.1.x - 4.2.x
PRB-EAM-002,EAM,Enterprise Authorization Management,P1,Retrospective authorization approvals not propagating to downstream Facets and QNXT claims adjudication,EAM event publisher uses fire-and-forget HTTP POST; no acknowledgment; downstream systems miss events on timeout,Switched to SQS-based event publishing with consumer acknowledgment and DLQ; retry count = 3,Integration,Recurring,4.2.x
PRB-EAM-003,EAM,Clinical Decision Support,P2,CDS alert fatigue — 73% of clinical alerts auto-dismissed by reviewers within 5 seconds,Alert severity scores not calibrated to patient context; high-priority alerts shown for low-risk procedures,Implemented context-aware severity scoring using member_risk_tier and procedure_frequency; alert volume reduced 41%,Business Logic,Recurring,4.1.x - 4.2.x
PRB-EAM-004,EAM,Enterprise Authorization Management,P3,Auth turnaround time SLA breaches not triggering escalation emails for weekend requests,SLA escalation job runs M-F only; weekend requests accumulate until Monday morning batch,Extended SLA escalation job to 7-day schedule; added on-call pager integration for P1/P2 SLA breaches,Workflow,Recurring,All versions
PRB-TCS-001,TCS,Claims Intake & Validation,P1,Professional claims with taxonomy code 193200000X (multilingual interpreter) rejected with invalid provider type error,Taxonomy validation table missing 193200000X and related telehealth taxonomy codes added in NUCC 2024 update,Updated taxonomy reference table with full NUCC 2024 release; added quarterly refresh job,Integration,First Occurrence,TCS 2024.1
PRB-TCS-002,TCS,Claims Intake & Validation,P2,Claim line-level adjustments overwrite entire claim header when adjustment reason code is CO-45,Adjustment processor applies line-level CO-45 to claim_total; header amounts not protected during partial adjust,Isolated adjustment scope to claim_line_id; header totals recalculated via aggregate after all line adjustments applied,Data Integrity,Recurring,TCS 2023.x - 2024.x
PRB-TCS-003,TCS,Remittance & EOB Processing,P2,ERA (835 Electronic Remittance) files generate duplicate EOB records when provider submits resubmission with same ICN,ERA processor does not check for existing ICN before insert; re-submissions create second EOB record,Added ICN uniqueness check with upsert logic; existing EOBs updated rather than duplicated,Data Integrity,Recurring,TCS 2023.x - 2024.x
PRB-TCS-004,TCS,Correspondence & Member Notifications,P2,Explanation of Benefits letters mailed to incorrect address after member moves when address_effective_date is future-dated,CorrespondenceJob reads address_effective_date = TODAY; future-dated address changes picked up before effective date,Fixed date filter to use address_effective_date <= SYSDATE; added 2-day mailing lag buffer,Correspondence,Recurring,TCS 2024.x
PRB-TCS-005,TCS,Remittance & EOB Processing,P1,835 ERA batch generation hangs indefinitely when NPI validation service is degraded,ERA generator calls NPI validation synchronously in main thread; service degradation causes thread pool exhaustion,Moved NPI validation to async background job with circuit breaker; ERA generation proceeds with cached NPI data,Batch Processing,First Occurrence,TCS 2024.1
PRB-NETWORX-001,NetworX,Fee Schedule Management,P2,Fee schedule effective date rollover does not apply new rates to in-progress claims that span the rollover date,ClaimAdjudicator reads fee schedule once at claim receipt date; mid-processing rate changes not re-evaluated,Added fee schedule re-read at adjudication time using service_date rather than received_date,Data Integrity,Recurring,NX 8.1.x - 8.3.x
PRB-NETWORX-002,NetworX,Contract Management,P1,Payer-provider contract terms not applied to facility claims when facility has multiple active contracts with overlapping effective dates,ContractSelector returns first matching contract; overlapping contracts cause non-deterministic selection,Implemented contract priority ranking with specificity score; most-specific contract (by TIN + NPI + service type) selected,Business Logic,Recurring,NX 8.2.x - 8.3.x
PRB-NETWORX-003,NetworX,Fee Schedule Management,P2,Radiology fee schedule modifier 26 (professional component) billed as global fee after MPFS 2025 update,Modifier table not refreshed with MPFS 2025 physician fee schedule; modifier 26 split billing flag set to global,Updated MPFS table with 2025 release; added annual regulatory refresh process tied to CMS publication calendar,Data Integrity,First Occurrence,NX 8.3.0
PRB-NETWORX-004,NetworX,Reporting & Analytics,P3,Network adequacy report undercounts in-network specialists for rural counties with shared ZIP code boundaries,County-to-ZIP mapping uses centroid ZIP only; providers in border ZIP codes excluded from rural county count,Switched to full ZIP-to-county crosswalk table; rural adequacy counts improved by average 12% across 34 counties,Reporting,Recurring,NX 8.x
PRB-FRM-001,FRM,Financial Reconciliation,P1,Month-end reconciliation fails to balance when Facets and QNXT post capitation adjustments in the same batch window,FRM assumes sequential posting; concurrent Facets and QNXT postings create race condition in fin_ledger_entry table,Added pessimistic row-level lock per source_system during capitation posting; batch coordination via lock manager,Batch Processing,Recurring,FRM 3.1.x
PRB-FRM-002,FRM,Financial Reconciliation,P2,Premium reconciliation report shows false variances for retroactive enrollment adjustments spanning multiple fiscal months,Retroactive adjustments posted to current period only; prior-period ledger entries not restated,Implemented period-aware retroactive posting with automatic prior-period restatement entries,Data Integrity,Recurring,FRM 3.0.x - 3.1.x
PRB-FRM-003,FRM,Financial Reconciliation,P2,FRM-to-EDM encounter count mismatch alerts triggering for valid supplemental data submissions,Mismatch threshold set to 0%; supplemental submissions legitimately exceed original encounter counts,Changed threshold to 5% with directional flag; supplemental increases no longer alert; decreases still alert,Business Logic,Recurring,FRM 3.1.x
PRB-FRM-004,FRM,Audit & Compliance Reporting,P3,DCSA audit trail incomplete — FRM log omits batch ID for adjustments initiated from EDM interface,EDM-initiated adjustments bypass FRM batch controller; log entry written without batch_id context,Routed all EDM-initiated adjustments through FRM batch controller; batch_id now populated for all entries,Reporting,Recurring,FRM 3.0.x - 3.1.x
